,Genre,Responsable_secondaire,Orphelin,Confession,Ecole_secondaire,Option_secondaire,Grade_examen_Etat,Province_secondaire,Age_fin_secondaire,Etude_cours_secondaire,Vouloir_devenir_avant_universite,Respo_oriention_departement,Aimer_departement,Annee_reposAvantUniversite,Age_adm_Universite,Nature_universite,Type_institution,Province_universite,Respo_universitaire,Niveau,Refaitre_sixieme_secondaire,Competence_math,Competence_physique,Competence_biologie,Competence_chimie,Competence_informatique,Competence_Dessin,Domaine_Universite
122,1,0.0,1,5.0,5,1,0.0,7.5,2.0,0,10,3,0,0.0,2.0,1.0,1,1.0,2,1,0,2,1.0,1.0,1.0,2,2,2
123,1,0.0,1,1.0,6,3,0.0,1.0,4.0,0,9,5,0,1.0,2.5,2.5,1,2.5,0,2,0,1,1.0,1.0,1.0,2,1,0
124,1,1.0,1,4.0,2,2,0.0,6.0,2.0,1,8,5,0,0.0,2.0,1.0,1,2.5,2,1,0,1,1.0,1.0,1.0,2,1,0
125,0,0.0,1,5.0,7,8,0.0,7.5,3.0,0,3,0,0,2.5,2.5,2.5,1,2.5,0,2,1,1,1.0,1.0,1.0,1,2,1
126,1,3.0,1,5.0,6,11,0.0,4.0,3.0,3,11,5,1,1.0,2.5,2.5,1,2.5,2,1,0,1,1.0,1.0,1.0,1,0,3
127,0,3.0,0,6.0,0,3,0.0,6.0,5.0,2,0,7,1,2.0,2.5,0.0,1,2.5,3,1,0,2,1.0,1.0,1.0,0,0,3
128,1,2.0,0,1.0,5,3,0.0,6.0,1.0,0,3,6,0,1.0,2.0,2.5,1,2.5,3,1,0,2,1.0,1.0,1.0,1,1,1
129,0,5.0,0,7.0,6,0,0.0,3.0,3.0,0,9,6,1,1.0,2.5,2.5,1,2.5,0,1,0,1,1.0,1.0,1.0,1,1,1
130,1,2.0,1,0.0,0,2,0.0,0.0,2.0,0,9,5,0,0.0,2.0,0.0,0,1.0,2,2,0,1,1.0,1.0,1.0,1,1,3
131,1,2.0,1,1.0,6,3,0.0,7.5,2.0,2,3,0,0,1.0,2.5,2.5,1,1.0,6,2,1,1,1.0,1.0,1.0,1,1,0
132,1,1.0,0,0.0,5,6,0.0,6.0,3.0,0,6,3,0,1.0,2.5,1.0,1,1.0,0,1,0,1,1.0,1.0,1.0,0,2,1
133,0,2.0,0,8.125,7,12,0.0,7.5,2.0,1,10,3,0,1.0,2.5,0.0,0,2.5,5,1,0,2,1.0,1.0,1.0,2,1,1
134,1,1.0,0,0.0,0,0,0.0,0.0,2.0,1,7,0,0,1.0,2.5,0.0,0,2.5,0,2,0,1,1.0,1.0,1.0,2,2,0
135,1,3.0,1,6.0,6,3,0.0,0.0,3.0,2,11,5,1,1.0,2.5,2.5,0,2.5,2,1,1,1,1.0,1.0,1.0,1,0,3
136,1,1.0,0,1.0,1,8,0.0,0.0,1.0,2,1,0,0,0.0,2.0,0.0,0,0.0,1,2,0,1,1.0,1.0,1.0,2,2,0
137,0,3.0,1,1.0,6,0,0.0,7.5,3.0,2,7,8,0,0.0,2.5,2.5,1,2.5,0,1,1,1,1.0,1.0,1.0,1,1,0
138,0,6.0,0,4.0,6,9,0.0,3.0,7.0,3,4,3,0,0.0,2.5,2.5,1,1.0,2,1,0,2,1.0,1.0,1.0,2,2,1
139,1,5.0,1,1.0,5,1,0.0,7.5,2.0,2,11,4,0,1.0,2.5,2.5,1,2.5,0,2,0,1,1.0,1.0,1.0,1,1,3
140,0,5.0,0,8.125,7,9,0.0,0.0,3.0,1,1,6,0,1.0,2.5,1.0,0,1.0,6,2,0,2,1.0,1.0,1.0,2,2,1
141,0,5.0,0,8.0,0,9,0.0,7.5,2.0,1,2,4,1,0.0,2.0,1.0,0,2.5,5,0,1,2,1.0,1.0,1.0,1,1,1
142,1,0.0,0,4.0,0,0,0.0,0.0,4.0,1,3,5,1,2.0,2.5,2.0,1,1.0,0,0,1,2,1.0,1.0,1.0,1,1,2
143,1,5.0,0,5.0,4,3,0.0,6.0,2.0,0,6,5,1,0.0,2.0,2.0,0,2.5,3,0,1,2,1.0,1.0,1.0,2,1,3
144,1,0.0,1,8.0,5,6,0.0,7.5,2.0,1,2,7,0,1.0,2.5,1.0,0,2.5,6,0,1,1,1.0,1.0,1.0,1,1,1
145,0,3.0,1,5.0,5,1,0.0,7.0,5.0,0,4,5,0,2.0,2.0,2.0,0,2.5,0,0,1,0,1.0,1.0,1.0,1,1,1
146,1,3.0,1,6.0,6,3,0.0,1.0,5.0,0,2,5,0,2.0,2.0,1.0,0,1.0,6,2,0,1,1.0,1.0,1.0,1,1,1
147,0,0.0,1,0.0,6,9,0.0,7.5,2.0,0,11,0,0,2.5,2.5,2.5,0,2.5,0,1,1,1,1.0,1.0,1.0,1,1,1
148,1,5.0,0,3.0,3,11,0.0,7.5,4.0,2,11,3,0,0.0,2.5,0.0,0,2.5,2,0,1,0,1.0,1.0,1.0,1,1,1
149,1,3.0,1,1.0,6,1,0.0,1.0,1.0,0,1,5,0,2.0,2.5,1.0,0,2.5,0,1,1,1,1.0,1.0,1.0,2,2,1
150,0,4.0,1,8.125,7,2,0.0,0.0,1.0,0,5,1,1,2.5,2.5,2.5,0,1.0,6,2,0,1,1.0,1.0,1.0,2,2,1
151,0,1.0,0,7.0,5,8,0.0,6.0,2.0,0,4,6,1,1.0,2.5,1.0,1,2.5,2,2,0,2,1.0,1.0,1.0,1,1,0
152,0,5.0,0,1.0,4,3,0.0,1.0,4.0,3,7,7,1,2.0,2.0,2.5,1,2.5,2,2,1,1,1.0,1.0,1.0,2,2,1
153,0,6.0,0,8.0,1,4,0.0,0.0,3.0,1,1,6,1,0.0,2.5,1.0,1,1.0,6,2,0,2,1.0,1.0,1.0,1,0,2
154,0,4.0,0,2.0,2,1,0.0,5.0,2.0,0,8,7,0,0.0,2.0,2.5,1,2.5,0,2,0,2,1.0,1.0,1.0,2,2,2
